YRQTR; 2015Q3

31AB>FIN;7477
32CDEF>FIN;358942
33GHIJKLMNOPQRST>FIN;176453

INIT>31AB;7477
INIT>32CDEF;358942
INIT>33GHIJKLMNOPQRST;176453

31AB>31AB;819
31AB>32CDEF;38783
31AB>33GHIJKLMNOPQRST;2930
32CDEF>31AB;4759
32CDEF>32CDEF;251212
32CDEF>33GHIJKLMNOPQRST;57761
33GHIJKLMNOPQRST>31AB;1899
33GHIJKLMNOPQRST>32CDEF;68947
33GHIJKLMNOPQRST>33GHIJKLMNOPQRST;115762
9610>31AB;1421
9610>32CDEF;60433
9610>33GHIJKLMNOPQRST;117289
31AB>9140;195
32CDEF>9140;159784
33GHIJKLMNOPQRST>9140;27850
9622>31AB;361
9622>32CDEF;15388
9622>33GHIJKLMNOPQRST;8302
31AB>9112;0
32CDEF>9112;280
33GHIJKLMNOPQRST>9112;60011
31AB>9122;0
32CDEF>9122;0
33GHIJKLMNOPQRST>9122;0
9690>31AB;8449
9690>32CDEF;132206
9690>33GHIJKLMNOPQRST;221028
31AB>9111;4293
32CDEF>9111;43734
33GHIJKLMNOPQRST>9111;144078
31AB>9121;19
32CDEF>9121;14074
33GHIJKLMNOPQRST>9121;5122
9321>31AB;27591
9321>32CDEF;74978
9321>33GHIJKLMNOPQRST;23911
31AB>9131;0
32CDEF>9131;0
33GHIJKLMNOPQRST>9131;0
9621>31AB;7003
9621>32CDEF;71698
9621>33GHIJKLMNOPQRST;102804
9630>31AB;138
9630>32CDEF;1246
9630>33GHIJKLMNOPQRST;3274
9322>31AB;0
9322>32CDEF;0
9322>33GHIJKLMNOPQRST;0
31AB>912191229131;19
32CDEF>912191229131;14074
33GHIJKLMNOPQRST>912191229131;5122
31AB>91119112;4293
32CDEF>91119112;44014
33GHIJKLMNOPQRST>91119112;204089
9329>31AB;27591
9329>32CDEF;74978
9329>33GHIJKLMNOPQRST;23911
